uid,formula,n_c,sets,grid,rung
1643,C32H18,32,300K+50K+600K,300-3799/3500,
1644,C32H18,32,300K+50K+600K,300-3799/3500,
1645,C32H18,32,300K+50K+600K,300-3799/3500,
1646,C32H18,32,300K+50K+600K,300-3799/3500,
1647,C32H18,32,300K+50K+600K,300-3799/3500,
1648,C32H18,32,300K+50K+600K,300-3799/3500,
1650,C32H18,32,300K+50K+600K,300-3799/3500,
1651,C32H18,32,300K+50K+600K,300-3799/3500,
1652,C32H18,32,300K+50K+600K,300-3799/3500,
1653,C32H18,32,300K+50K+600K,300-3799/3500,
1654,C32H18,32,300K+50K+600K,300-3799/3500,
1655,C32H18,32,300K+50K+600K,300-3799/3500,
1659,C32H18,32,300K+50K+600K,300-3799/3500,
1664,C32H18,32,300K+50K+600K,300-3799/3500,
1665,C32H18,32,300K+50K+600K,300-3799/3500,
1669,C32H18,32,300K+50K+600K,300-3799/3500,
1674,C32H18,32,300K+50K+600K,300-3799/3500,
1675,C32H18,32,300K+50K+600K,300-3799/3500,
1677,C32H18,32,300K+50K+600K,300-3799/3500,
1680,C32H18,32,300K+50K+600K,300-3799/3500,
1681,C32H18,32,300K+50K+600K,300-3799/3500,
1682,C32H18,32,300K+50K+600K,300-3799/3500,
1683,C32H18,32,300K+50K+600K,300-3799/3500,
1684,C32H18,32,300K+50K+600K,300-3799/3500,
1687,C32H18,32,300K+50K+600K,300-3799/3500,
1688,C32H18,32,300K+50K+600K,300-3799/3500,
1689,C32H18,32,300K+50K+600K,300-3799/3500,
1690,C32H18,32,300K+50K+600K,300-3799/3500,
1691,C32H18,32,300K+50K+600K,300-3799/3500,
1692,C32H18,32,300K+50K+600K,300-3799/3500,
1693,C32H18,32,300K+50K+600K,300-3799/3500,
1694,C32H18,32,300K+50K+600K,300-3799/3500,
1695,C32H18,32,300K+50K+600K,300-3799/3500,
1696,C32H18,32,300K+50K+600K,300-3799/3500,
1697,C32H18,32,300K+50K+600K,300-3799/3500,
1698,C32H18,32,300K+50K+600K,300-3799/3500,
1702,C32H18,32,300K+50K+600K,300-3799/3500,
1706,C32H18,32,300K+50K+600K,300-3799/3500,
1707,C32H18,32,300K+50K+600K,300-3799/3500,
1708,C32H18,32,300K+50K+600K,300-3799/3500,
1709,C32H18,32,300K+50K+600K,300-3799/3500,
1710,C32H18,32,300K+50K+600K,300-3799/3500,
1712,C32H18,32,300K+50K+600K,300-3799/3500,
1713,C32H18,32,300K+50K+600K,300-3799/3500,
1714,C32H18,32,300K+50K+600K,300-3799/3500,
1715,C32H18,32,300K+50K+600K,300-3799/3500,
1717,C32H18,32,300K+50K+600K,300-3799/3500,
1718,C32H18,32,300K+50K+600K,300-3799/3500,
1719,C32H18,32,300K+50K+600K,300-3799/3500,
1720,C32H18,32,300K+50K+600K,300-3799/3500,
1721,C32H18,32,300K+50K+600K,300-3799/3500,
1722,C32H18,32,300K+50K+600K,300-3799/3500,
1723,C32H18,32,300K+50K+600K,300-3799/3500,
1724,C32H18,32,300K+50K+600K,300-3799/3500,
1728,C32H18,32,300K+50K+600K,300-3799/3500,
1731,C32H18,32,300K+50K+600K,300-3799/3500,
1732,C32H18,32,300K+50K+600K,300-3799/3500,
1733,C32H18,32,300K+50K+600K,300-3799/3500,
1735,C32H18,32,300K+50K+600K,300-3799/3500,
1736,C32H18,32,300K+50K+600K,300-3799/3500,
1737,C32H18,32,300K+50K+600K,300-3799/3500,
1738,C32H18,32,300K+50K+600K,300-3799/3500,
1740,C32H18,32,300K+50K+600K,300-3799/3500,
1743,C32H18,32,300K+50K+600K,300-3799/3500,
1745,C32H18,32,300K+50K+600K,300-3799/3500,
1747,C32H18,32,300K+50K+600K,300-3799/3500,
1748,C32H18,32,300K+50K+600K,300-3799/3500,
1749,C32H18,32,300K+50K+600K,300-3799/3500,
1750,C32H18,32,300K+50K+600K,300-3799/3500,
1751,C32H18,32,300K+50K+600K,300-3799/3500,
1752,C32H18,32,300K+50K+600K,300-3799/3500,
1753,C32H18,32,300K+50K+600K,300-3799/3500,
1754,C32H18,32,300K+50K+600K,300-3799/3500,
1755,C32H18,32,300K+50K+600K,300-3799/3500,
1756,C32H18,32,300K+50K+600K,300-3799/3500,
1758,C32H18,32,300K+50K+600K,300-3799/3500,
1759,C32H18,32,300K+50K+600K,300-3799/3500,
1760,C32H18,32,300K+50K+600K,300-3799/3500,
1763,C32H18,32,300K+50K+600K,300-3799/3500,
1765,C32H18,32,300K+50K+600K,300-3799/3500,
1767,C32H18,32,300K+50K+600K,300-3799/3500,
4,C32H14,32,300K+50K+600K,300-3799/3500,
535,C32H18,32,300K+50K+600K,300-3799/3500,
536,C32H18,32,300K+50K+600K+EXP,300-3799/3500,
591,C32H14,32,300K+50K+600K,300-3799/3500,
1144,C33H19,33,300K+50K+600K,300-3799/3500,
1147,C33H19,33,300K+50K+600K,300-3799/3500,
1148,C33H19,33,300K+50K+600K,300-3799/3500,
1150,C33H19,33,300K+50K+600K,300-3799/3500,
1151,C33H19,33,300K+50K+600K,300-3799/3500,
1152,C33H19,33,300K+50K+600K,300-3799/3500,
1153,C33H19,33,300K+50K+600K,300-3799/3500,
1154,C33H19,33,300K+50K+600K,300-3799/3500,
1155,C33H19,33,300K+50K+600K,300-3799/3500,
1156,C33H19,33,300K+50K+600K,300-3799/3500,
1157,C33H19,33,300K+50K+600K,300-3799/3500,
1158,C33H19,33,300K+50K+600K,300-3799/3500,
1159,C33H19,33,300K+50K+600K,300-3799/3500,
1160,C33H19,33,300K+50K+600K,300-3799/3500,
1161,C33H19,33,300K+50K+600K,300-3799/3500,
1162,C33H19,33,300K+50K+600K,300-3799/3500,
1163,C33H19,33,300K+50K+600K,300-3799/3500,
1166,C33H19,33,300K+50K+600K,300-3799/3500,
1167,C33H19,33,300K+50K+600K,300-3799/3500,
1168,C33H19,33,300K+50K+600K,300-3799/3500,
1169,C33H19,33,300K+50K+600K,300-3799/3500,
1170,C33H19,33,300K+50K+600K,300-3799/3500,
1172,C33H19,33,300K+50K+600K,300-3799/3500,
1173,C33H19,33,300K+50K+600K,300-3799/3500,
1174,C33H19,33,300K+50K+600K,300-3799/3500,
1175,C33H19,33,300K+50K+600K,300-3799/3500,
1176,C33H19,33,300K+50K+600K,300-3799/3500,
1177,C33H19,33,300K+50K+600K,300-3799/3500,
1178,C33H19,33,300K+50K+600K,300-3799/3500,
1179,C33H19,33,300K+50K+600K,300-3799/3500,
1180,C33H19,33,300K+50K+600K,300-3799/3500,
1181,C33H19,33,300K+50K+600K,300-3799/3500,
1182,C33H19,33,300K+50K+600K,300-3799/3500,
1183,C33H19,33,300K+50K+600K,300-3799/3500,
1184,C33H19,33,300K+50K+600K,300-3799/3500,
1186,C33H19,33,300K+50K+600K,300-3799/3500,
1187,C33H19,33,300K+50K+600K,300-3799/3500,
1188,C33H19,33,300K+50K+600K,300-3799/3500,
1189,C33H19,33,300K+50K+600K,300-3799/3500,
1190,C33H19,33,300K+50K+600K,300-3799/3500,
1191,C33H19,33,300K+50K+600K,300-3799/3500,
1192,C33H19,33,300K+50K+600K,300-3799/3500,
1194,C33H19,33,300K+50K+600K,300-3799/3500,
1195,C33H19,33,300K+50K+600K,300-3799/3500,
1196,C33H19,33,300K+50K+600K,300-3799/3500,
1197,C33H19,33,300K+50K+600K,300-3799/3500,
1198,C33H19,33,300K+50K+600K,300-3799/3500,
1199,C33H19,33,300K+50K+600K,300-3799/3500,
1200,C33H19,33,300K+50K+600K,300-3799/3500,
1201,C33H19,33,300K+50K+600K,300-3799/3500,
1202,C33H19,33,300K+50K+600K,300-3799/3500,
1203,C33H19,33,300K+50K+600K,300-3799/3500,
1205,C33H19,33,300K+50K+600K,300-3799/3500,
1206,C33H19,33,300K+50K+600K,300-3799/3500,
1207,C33H19,33,300K+50K+600K,300-3799/3500,
1208,C33H19,33,300K+50K+600K,300-3799/3500,
1209,C33H19,33,300K+50K+600K,300-3799/3500,
1210,C33H19,33,300K+50K+600K,300-3799/3500,
1214,C33H19,33,300K+50K+600K,300-3799/3500,
1215,C33H19,33,300K+50K+600K,300-3799/3500,
1216,C33H19,33,300K+50K+600K,300-3799/3500,
1217,C33H19,33,300K+50K+600K,300-3799/3500,
1221,C33H19,33,300K+50K+600K,300-3799/3500,
1222,C33H19,33,300K+50K+600K,300-3799/3500,
1224,C33H19,33,300K+50K+600K,300-3799/3500,
1225,C33H19,33,300K+50K+600K,300-3799/3500,
1226,C33H19,33,300K+50K+600K,300-3799/3500,
1227,C33H19,33,300K+50K+600K,300-3799/3500,
1228,C33H19,33,300K+50K+600K,300-3799/3500,
1229,C33H19,33,300K+50K+600K,300-3799/3500,
1230,C33H19,33,300K+50K+600K,300-3799/3500,
1232,C33H19,33,300K+50K+600K,300-3799/3500,
1233,C33H19,33,300K+50K+600K,300-3799/3500,
1234,C33H19,33,300K+50K+600K,300-3799/3500,
1235,C33H19,33,300K+50K+600K,300-3799/3500,
1236,C33H19,33,300K+50K+600K,300-3799/3500,
1238,C33H19,33,300K+50K+600K,300-3799/3500,
1239,C33H19,33,300K+50K+600K,300-3799/3500,
1240,C33H19,33,300K+50K+600K,300-3799/3500,
1241,C33H19,33,300K+50K+600K,300-3799/3500,
1243,C33H19,33,300K+50K+600K,300-3799/3500,
1244,C33H19,33,300K+50K+600K,300-3799/3500,
1245,C33H19,33,300K+50K+600K,300-3799/3500,
1246,C33H19,33,300K+50K+600K,300-3799/3500,
1247,C33H19,33,300K+50K+600K,300-3799/3500,
1248,C33H19,33,300K+50K+600K,300-3799/3500,
1249,C33H19,33,300K+50K+600K,300-3799/3500,
1250,C33H19,33,300K+50K+600K,300-3799/3500,
1252,C33H19,33,300K+50K+600K,300-3799/3500,
1253,C33H19,33,300K+50K+600K,300-3799/3500,
1256,C33H19,33,300K+50K+600K,300-3799/3500,
1258,C33H19,33,300K+50K+600K,300-3799/3500,
1259,C33H19,33,300K+50K+600K,300-3799/3500,
1260,C33H19,33,300K+50K+600K,300-3799/3500,
1262,C33H19,33,300K+50K+600K,300-3799/3500,
1265,C33H19,33,300K+50K+600K,300-3799/3500,
1267,C33H19,33,300K+50K+600K,300-3799/3500,
1268,C33H19,33,300K+50K+600K,300-3799/3500,
1272,C33H19,33,300K+50K+600K,300-3799/3500,
1274,C33H19,33,300K+50K+600K,300-3799/3500,
1275,C33H19,33,300K+50K+600K,300-3799/3500,
1277,C33H19,33,300K+50K+600K,300-3799/3500,
1278,C33H19,33,300K+50K+600K,300-3799/3500,
1279,C33H19,33,300K+50K+600K,300-3799/3500,
1281,C33H19,33,300K+50K+600K,300-3799/3500,
1282,C33H19,33,300K+50K+600K,300-3799/3500,
1283,C33H19,33,300K+50K+600K,300-3799/3500,
1284,C33H19,33,300K+50K+600K,300-3799/3500,
1287,C33H19,33,300K+50K+600K,300-3799/3500,
1289,C33H19,33,300K+50K+600K,300-3799/3500,
1295,C33H19,33,300K+50K+600K,300-3799/3500,
1296,C33H19,33,300K+50K+600K,300-3799/3500,
1297,C33H19,33,300K+50K+600K,300-3799/3500,
1298,C33H19,33,300K+50K+600K,300-3799/3500,
1299,C33H19,33,300K+50K+600K,300-3799/3500,
1301,C33H19,33,300K+50K+600K,300-3799/3500,
1302,C33H19,33,300K+50K+600K,300-3799/3500,
1304,C33H19,33,300K+50K+600K,300-3799/3500,
1305,C33H19,33,300K+50K+600K,300-3799/3500,
1306,C33H19,33,300K+50K+600K,300-3799/3500,
1307,C33H19,33,300K+50K+600K,300-3799/3500,
1308,C33H19,33,300K+50K+600K,300-3799/3500,
1309,C33H19,33,300K+50K+600K,300-3799/3500,
1310,C33H19,33,300K+50K+600K,300-3799/3500,
1311,C33H19,33,300K+50K+600K,300-3799/3500,
1312,C33H19,33,300K+50K+600K,300-3799/3500,
1313,C33H19,33,300K+50K+600K,300-3799/3500,
1314,C33H19,33,300K+50K+600K,300-3799/3500,
1317,C33H19,33,300K+50K+600K,300-3799/3500,
1318,C33H19,33,300K+50K+600K,300-3799/3500,
1319,C33H19,33,300K+50K+600K,300-3799/3500,
1321,C33H19,33,300K+50K+600K,300-3799/3500,
1323,C33H19,33,300K+50K+600K,300-3799/3500,
1324,C33H19,33,300K+50K+600K,300-3799/3500,
1325,C33H19,33,300K+50K+600K,300-3799/3500,
1326,C33H19,33,300K+50K+600K,300-3799/3500,
1327,C33H19,33,300K+50K+600K,300-3799/3500,
1328,C33H19,33,300K+50K+600K,300-3799/3500,
1329,C33H19,33,300K+50K+600K,300-3799/3500,
1330,C33H19,33,300K+50K+600K,300-3799/3500,
1331,C33H19,33,300K+50K+600K,300-3799/3500,
1332,C33H19,33,300K+50K+600K,300-3799/3500,
1334,C33H19,33,300K+50K+600K,300-3799/3500,
1335,C33H19,33,300K+50K+600K,300-3799/3500,
1337,C33H19,33,300K+50K+600K,300-3799/3500,
1338,C33H19,33,300K+50K+600K,300-3799/3500,
1339,C33H19,33,300K+50K+600K,300-3799/3500,
1340,C33H19,33,300K+50K+600K,300-3799/3500,
1341,C33H19,33,300K+50K+600K,300-3799/3500,
1342,C33H19,33,300K+50K+600K,300-3799/3500,
1343,C33H19,33,300K+50K+600K,300-3799/3500,
1344,C33H19,33,300K+50K+600K,300-3799/3500,
1345,C33H19,33,300K+50K+600K,300-3799/3500,
1346,C33H19,33,300K+50K+600K,300-3799/3500,
1347,C33H19,33,300K+50K+600K,300-3799/3500,
1348,C33H19,33,300K+50K+600K,300-3799/3500,
1349,C33H19,33,300K+50K+600K,300-3799/3500,
1350,C33H19,33,300K+50K+600K,300-3799/3500,
1351,C33H19,33,300K+50K+600K,300-3799/3500,
1353,C33H19,33,300K+50K+600K,300-3799/3500,
1354,C33H19,33,300K+50K+600K,300-3799/3500,
1355,C33H19,33,300K+50K+600K,300-3799/3500,
1356,C33H19,33,300K+50K+600K,300-3799/3500,
1357,C33H19,33,300K+50K+600K,300-3799/3500,
1359,C33H19,33,300K+50K+600K,300-3799/3500,
1360,C33H19,33,300K+50K+600K,300-3799/3500,
1361,C33H19,33,300K+50K+600K,300-3799/3500,
1362,C33H19,33,300K+50K+600K,300-3799/3500,
1363,C33H19,33,300K+50K+600K,300-3799/3500,
1364,C33H19,33,300K+50K+600K,300-3799/3500,
1365,C33H19,33,300K+50K+600K,300-3799/3500,
1366,C33H19,33,300K+50K+600K,300-3799/3500,
1369,C33H19,33,300K+50K+600K,300-3799/3500,
1371,C33H19,33,300K+50K+600K,300-3799/3500,
1373,C33H19,33,300K+50K+600K,300-3799/3500,
1375,C33H19,33,300K+50K+600K,300-3799/3500,
1377,C33H19,33,300K+50K+600K,300-3799/3500,
1378,C33H19,33,300K+50K+600K,300-3799/3500,
1379,C33H19,33,300K+50K+600K,300-3799/3500,
1380,C33H19,33,300K+50K+600K,300-3799/3500,
1381,C33H19,33,300K+50K+600K,300-3799/3500,
1385,C33H19,33,300K+50K+600K,300-3799/3500,
1387,C33H19,33,300K+50K+600K,300-3799/3500,
1389,C33H19,33,300K+50K+600K,300-3799/3500,
1396,C33H19,33,300K+50K+600K,300-3799/3500,
1397,C33H19,33,300K+50K+600K,300-3799/3500,
1398,C33H19,33,300K+50K+600K,300-3799/3500,
1399,C33H19,33,300K+50K+600K,300-3799/3500,
1400,C33H19,33,300K+50K+600K,300-3799/3500,
1403,C33H19,33,300K+50K+600K,300-3799/3500,
1405,C33H19,33,300K+50K+600K,300-3799/3500,
1406,C33H19,33,300K+50K+600K,300-3799/3500,
1407,C33H19,33,300K+50K+600K,300-3799/3500,
1408,C33H19,33,300K+50K+600K,300-3799/3500,
1409,C33H19,33,300K+50K+600K,300-3799/3500,
1410,C33H19,33,300K+50K+600K,300-3799/3500,
1411,C33H19,33,300K+50K+600K,300-3799/3500,
1412,C33H19,33,300K+50K+600K,300-3799/3500,
1413,C33H19,33,300K+50K+600K,300-3799/3500,
1414,C33H19,33,300K+50K+600K,300-3799/3500,
1415,C33H19,33,300K+50K+600K,300-3799/3500,
1417,C33H19,33,300K+50K+600K,300-3799/3500,
1419,C33H19,33,300K+50K+600K,300-3799/3500,
1420,C33H19,33,300K+50K+600K,300-3799/3500,
1421,C33H19,33,300K+50K+600K,300-3799/3500,
1422,C33H19,33,300K+50K+600K,300-3799/3500,
1423,C33H19,33,300K+50K+600K,300-3799/3500,
1424,C33H19,33,300K+50K+600K,300-3799/3500,
1425,C33H19,33,300K+50K+600K,300-3799/3500,
1426,C33H19,33,300K+50K+600K,300-3799/3500,
1427,C33H19,33,300K+50K+600K,300-3799/3500,
1428,C33H19,33,300K+50K+600K,300-3799/3500,
1430,C33H19,33,300K+50K+600K,300-3799/3500,
1434,C33H19,33,300K+50K+600K,300-3799/3500,
1435,C33H19,33,300K+50K+600K,300-3799/3500,
1436,C33H19,33,300K+50K+600K,300-3799/3500,
1437,C33H19,33,300K+50K+600K,300-3799/3500,
1438,C33H19,33,300K+50K+600K,300-3799/3500,
1439,C33H19,33,300K+50K+600K,300-3799/3500,
1440,C33H19,33,300K+50K+600K,300-3799/3500,
1441,C33H19,33,300K+50K+600K,300-3799/3500,
1443,C33H19,33,300K+50K+600K,300-3799/3500,
1445,C33H19,33,300K+50K+600K,300-3799/3500,
1446,C33H19,33,300K+50K+600K,300-3799/3500,
1449,C33H19,33,300K+50K+600K,300-3799/3500,
1450,C33H19,33,300K+50K+600K,300-3799/3500,
1451,C33H19,33,300K+50K+600K,300-3799/3500,
1452,C33H19,33,300K+50K+600K,300-3799/3500,
1453,C33H19,33,300K+50K+600K,300-3799/3500,
1454,C33H19,33,300K+50K+600K,300-3799/3500,
1455,C33H19,33,300K+50K+600K,300-3799/3500,
1456,C33H19,33,300K+50K+600K,300-3799/3500,
1457,C33H19,33,300K+50K+600K,300-3799/3500,
1458,C33H19,33,300K+50K+600K,300-3799/3500,
1459,C33H19,33,300K+50K+600K,300-3799/3500,
1460,C33H19,33,300K+50K+600K,300-3799/3500,
1461,C33H19,33,300K+50K+600K,300-3799/3500,
1463,C33H19,33,300K+50K+600K,300-3799/3500,
1466,C33H19,33,300K+50K+600K,300-3799/3500,
1473,C33H19,33,300K+50K+600K,300-3799/3500,
1475,C33H19,33,300K+50K+600K,300-3799/3500,
1476,C33H19,33,300K+50K+600K,300-3799/3500,
1477,C33H19,33,300K+50K+600K,300-3799/3500,
1479,C33H19,33,300K+50K+600K,300-3799/3500,
1482,C33H19,33,300K+50K+600K,300-3799/3500,
1485,C33H19,33,300K+50K+600K,300-3799/3500,
1486,C33H19,33,300K+50K+600K,300-3799/3500,
1487,C33H19,33,300K+50K+600K,300-3799/3500,
1488,C33H19,33,300K+50K+600K,300-3799/3500,
1489,C33H19,33,300K+50K+600K,300-3799/3500,
1490,C33H19,33,300K+50K+600K,300-3799/3500,
1491,C33H19,33,300K+50K+600K,300-3799/3500,
1494,C33H19,33,300K+50K+600K,300-3799/3500,
1497,C33H19,33,300K+50K+600K,300-3799/3500,
1500,C33H19,33,300K+50K+600K,300-3799/3500,
1501,C33H19,33,300K+50K+600K,300-3799/3500,
1000,C34H20,34,300K+50K+600K,300-3799/3500,
1001,C34H20,34,300K+50K+600K,300-3799/3500,
1002,C34H20,34,300K+50K+600K,300-3799/3500,
1003,C34H20,34,300K+50K+600K,300-3799/3500,
1004,C34H20,34,300K+50K+600K,300-3799/3500,
1005,C34H20,34,300K+50K+600K,300-3799/3500,
1010,C34H20,34,300K+50K+600K,300-3799/3500,
1014,C34H20,34,300K+50K+600K,300-3799/3500,
1015,C34H20,34,300K+50K+600K,300-3799/3500,
1020,C34H20,34,300K+50K+600K,300-3799/3500,
1021,C34H20,34,300K+50K+600K,300-3799/3500,
1027,C34H20,34,300K+50K+600K,300-3799/3500,
1029,C34H20,34,300K+50K+600K,300-3799/3500,
1031,C34H20,34,300K+50K+600K,300-3799/3500,
1033,C34H20,34,300K+50K+600K,300-3799/3500,
1035,C34H20,34,300K+50K+600K,300-3799/3500,
1036,C34H20,34,300K+50K+600K,300-3799/3500,
1038,C34H20,34,300K+50K+600K,300-3799/3500,
1040,C34H20,34,300K+50K+600K,300-3799/3500,
1041,C34H20,34,300K+50K+600K,300-3799/3500,
1042,C34H20,34,300K+50K+600K,300-3799/3500,
1043,C34H20,34,300K+50K+600K,300-3799/3500,
1044,C34H20,34,300K+50K+600K,300-3799/3500,
1045,C34H20,34,300K+50K+600K,300-3799/3500,
1049,C34H20,34,300K+50K+600K,300-3799/3500,
1050,C34H20,34,300K+50K+600K,300-3799/3500,
1051,C34H20,34,300K+50K+600K,300-3799/3500,
1052,C34H20,34,300K+50K+600K,300-3799/3500,
1055,C34H20,34,300K+50K+600K,300-3799/3500,
1057,C34H20,34,300K+50K+600K,300-3799/3500,
1058,C34H20,34,300K+50K+600K,300-3799/3500,
1060,C34H20,34,300K+50K+600K,300-3799/3500,
1061,C34H20,34,300K+50K+600K,300-3799/3500,
1062,C34H20,34,300K+50K+600K,300-3799/3500,
1065,C34H20,34,300K+50K+600K,300-3799/3500,
1066,C34H20,34,300K+50K+600K,300-3799/3500,
1068,C34H20,34,300K+50K+600K,300-3799/3500,
1069,C34H20,34,300K+50K+600K,300-3799/3500,
1070,C34H20,34,300K+50K+600K,300-3799/3500,
1071,C34H20,34,300K+50K+600K,300-3799/3500,
1074,C34H20,34,300K+50K+600K,300-3799/3500,
1076,C34H20,34,300K+50K+600K,300-3799/3500,
1077,C34H20,34,300K+50K+600K,300-3799/3500,
1078,C34H20,34,300K+50K+600K,300-3799/3500,
1080,C34H20,34,300K+50K+600K,300-3799/3500,
1081,C34H20,34,300K+50K+600K,300-3799/3500,
1082,C34H20,34,300K+50K+600K,300-3799/3500,
1083,C34H20,34,300K+50K+600K,300-3799/3500,
1084,C34H20,34,300K+50K+600K,300-3799/3500,
1085,C34H20,34,300K+50K+600K,300-3799/3500,
1086,C34H20,34,300K+50K+600K,300-3799/3500,
1087,C34H20,34,300K+50K+600K,300-3799/3500,
1088,C34H20,34,300K+50K+600K,300-3799/3500,
1089,C34H20,34,300K+50K+600K,300-3799/3500,
1090,C34H20,34,300K+50K+600K,300-3799/3500,
1091,C34H20,34,300K+50K+600K,300-3799/3500,
1092,C34H20,34,300K+50K+600K,300-3799/3500,
1093,C34H20,34,300K+50K+600K,300-3799/3500,
1096,C34H20,34,300K+50K+600K,300-3799/3500,
1098,C34H20,34,300K+50K+600K,300-3799/3500,
1101,C34H20,34,300K+50K+600K,300-3799/3500,
1102,C34H20,34,300K+50K+600K,300-3799/3500,
1103,C34H20,34,300K+50K+600K,300-3799/3500,
1104,C34H20,34,300K+50K+600K,300-3799/3500,
1108,C34H20,34,300K+50K+600K,300-3799/3500,
1112,C34H20,34,300K+50K+600K,300-3799/3500,
1113,C34H20,34,300K+50K+600K,300-3799/3500,
1117,C34H20,34,300K+50K+600K,300-3799/3500,
1124,C34H20,34,300K+50K+600K,300-3799/3500,
1126,C34H20,34,300K+50K+600K,300-3799/3500,
1127,C34H20,34,300K+50K+600K,300-3799/3500,
1128,C34H20,34,300K+50K+600K,300-3799/3500,
1129,C34H20,34,300K+50K+600K,300-3799/3500,
1142,C34H20,34,300K+50K+600K,300-3799/3500,
1143,C34H18,34,300K+50K+600K,300-3799/3500,
125,C34H16,34,300K+50K+600K+EXP,300-3799/3500,
3161,C34H16,34,300K+50K+600K,300-3799/3500,
820,C34H20,34,300K+50K+600K,300-3799/3500,
837,C34H20,34,300K+50K+600K,300-3799/3500,
838,C34H20,34,300K+50K+600K,300-3799/3500,
839,C34H20,34,300K+50K+600K,300-3799/3500,
841,C34H20,34,300K+50K+600K,300-3799/3500,
842,C34H20,34,300K+50K+600K,300-3799/3500,
843,C34H20,34,300K+50K+600K,300-3799/3500,
844,C34H20,34,300K+50K+600K,300-3799/3500,
845,C34H20,34,300K+50K+600K,300-3799/3500,
846,C34H20,34,300K+50K+600K,300-3799/3500,
847,C34H20,34,300K+50K+600K,300-3799/3500,
848,C34H20,34,300K+50K+600K,300-3799/3500,
849,C34H20,34,300K+50K+600K,300-3799/3500,
852,C34H20,34,300K+50K+600K,300-3799/3500,
854,C34H20,34,300K+50K+600K,300-3799/3500,
855,C34H20,34,300K+50K+600K,300-3799/3500,
856,C34H20,34,300K+50K+600K,300-3799/3500,
857,C34H20,34,300K+50K+600K,300-3799/3500,
859,C34H20,34,300K+50K+600K,300-3799/3500,
860,C34H20,34,300K+50K+600K,300-3799/3500,
861,C34H20,34,300K+50K+600K,300-3799/3500,
863,C34H20,34,300K+50K+600K,300-3799/3500,
864,C34H20,34,300K+50K+600K,300-3799/3500,
865,C34H20,34,300K+50K+600K,300-3799/3500,
866,C34H20,34,300K+50K+600K,300-3799/3500,
867,C34H20,34,300K+50K+600K,300-3799/3500,
868,C34H20,34,300K+50K+600K,300-3799/3500,
869,C34H20,34,300K+50K+600K,300-3799/3500,
870,C34H20,34,300K+50K+600K,300-3799/3500,
871,C34H20,34,300K+50K+600K,300-3799/3500,
872,C34H20,34,300K+50K+600K,300-3799/3500,
873,C34H20,34,300K+50K+600K,300-3799/3500,
874,C34H20,34,300K+50K+600K,300-3799/3500,
875,C34H20,34,300K+50K+600K,300-3799/3500,
876,C34H20,34,300K+50K+600K,300-3799/3500,
877,C34H20,34,300K+50K+600K,300-3799/3500,
879,C34H20,34,300K+50K+600K,300-3799/3500,
880,C34H20,34,300K+50K+600K,300-3799/3500,
881,C34H20,34,300K+50K+600K,300-3799/3500,
882,C34H20,34,300K+50K+600K,300-3799/3500,
883,C34H20,34,300K+50K+600K,300-3799/3500,
884,C34H20,34,300K+50K+600K,300-3799/3500,
885,C34H20,34,300K+50K+600K,300-3799/3500,
886,C34H20,34,300K+50K+600K,300-3799/3500,
888,C34H20,34,300K+50K+600K,300-3799/3500,
889,C34H20,34,300K+50K+600K,300-3799/3500,
890,C34H20,34,300K+50K+600K,300-3799/3500,
891,C34H20,34,300K+50K+600K,300-3799/3500,
892,C34H20,34,300K+50K+600K,300-3799/3500,
893,C34H20,34,300K+50K+600K,300-3799/3500,
894,C34H20,34,300K+50K+600K,300-3799/3500,
895,C34H20,34,300K+50K+600K,300-3799/3500,
896,C34H20,34,300K+50K+600K,300-3799/3500,
897,C34H20,34,300K+50K+600K,300-3799/3500,
898,C34H20,34,300K+50K+600K,300-3799/3500,
900,C34H20,34,300K+50K+600K,300-3799/3500,
901,C34H20,34,300K+50K+600K,300-3799/3500,
902,C34H20,34,300K+50K+600K,300-3799/3500,
903,C34H20,34,300K+50K+600K,300-3799/3500,
904,C34H20,34,300K+50K+600K,300-3799/3500,
905,C34H20,34,300K+50K+600K,300-3799/3500,
907,C34H20,34,300K+50K+600K,300-3799/3500,
908,C34H20,34,300K+50K+600K,300-3799/3500,
909,C34H20,34,300K+50K+600K,300-3799/3500,
910,C34H20,34,300K+50K+600K,300-3799/3500,
911,C34H20,34,300K+50K+600K,300-3799/3500,
912,C34H20,34,300K+50K+600K,300-3799/3500,
913,C34H20,34,300K+50K+600K,300-3799/3500,
914,C34H20,34,300K+50K+600K,300-3799/3500,
916,C34H20,34,300K+50K+600K,300-3799/3500,
917,C34H20,34,300K+50K+600K,300-3799/3500,
918,C34H20,34,300K+50K+600K,300-3799/3500,
919,C34H20,34,300K+50K+600K,300-3799/3500,
920,C34H20,34,300K+50K+600K,300-3799/3500,
921,C34H20,34,300K+50K+600K,300-3799/3500,
922,C34H20,34,300K+50K+600K,300-3799/3500,
923,C34H20,34,300K+50K+600K,300-3799/3500,
924,C34H20,34,300K+50K+600K,300-3799/3500,
925,C34H20,34,300K+50K+600K,300-3799/3500,
926,C34H20,34,300K+50K+600K,300-3799/3500,
931,C34H20,34,300K+50K+600K,300-3799/3500,
932,C34H20,34,300K+50K+600K,300-3799/3500,
934,C34H20,34,300K+50K+600K,300-3799/3500,
940,C34H20,34,300K+50K+600K,300-3799/3500,
