uid,formula,charge,n_c,frequency_cm,scale,frequency_unscaled_cm,intensity_km_mol,symmetry,family
617,C384H48,0,384,160.2262,0.9563,167.54804977517514,0.0,E1G,low / skeletal
617,C384H48,0,384,162.7384,0.9563,170.17504967060546,0.0,A1U,low / skeletal
617,C384H48,0,384,162.8058,0.9563,170.24552964550873,0.0,E2U,low / skeletal
617,C384H48,0,384,162.8058,0.9563,170.24552964550873,0.0,E2U,low / skeletal
617,C384H48,0,384,180.4331,0.9563,188.67834361602007,0.0,E1G,low / skeletal
617,C384H48,0,384,180.4331,0.9563,188.67834361602007,0.0,E1G,low / skeletal
617,C384H48,0,384,183.5606,0.9563,191.94876084910592,0.0,B2G,low / skeletal
617,C384H48,0,384,185.2814,0.9563,193.74819617274912,0.6212,A2U,low / skeletal
617,C384H48,0,384,187.8434,0.9563,196.42727177663912,0.0,E2G,low / skeletal
617,C384H48,0,384,187.8434,0.9563,196.42727177663912,0.0,E2G,low / skeletal
617,C384H48,0,384,187.9166,0.9563,196.50381679389312,0.0,E1G,low / skeletal
617,C384H48,0,384,187.9166,0.9563,196.50381679389312,0.0,E1G,low / skeletal
617,C384H48,0,384,188.4626,0.9563,197.07476733242703,0.0,B1G,low / skeletal
617,C384H48,0,384,190.0865,0.9563,198.77287462093489,0.0,E2U,low / skeletal
617,C384H48,0,384,190.0865,0.9563,198.77287462093489,0.0,E2U,low / skeletal
617,C384H48,0,384,191.6953,0.9563,200.4551918853916,0.0,B1U,low / skeletal
617,C384H48,0,384,196.8031,0.9563,205.79640280246784,0.0,B2G,low / skeletal
617,C384H48,0,384,196.8334,0.9563,205.8280874202656,0.0,A1U,low / skeletal
617,C384H48,0,384,204.296,0.9563,213.63170553173688,0.0,A2G,low / skeletal
617,C384H48,0,384,209.7686,0.9563,219.3543866987347,0.0,E2U,low / skeletal
617,C384H48,0,384,209.7686,0.9563,219.3543866987347,0.0,E2U,low / skeletal
617,C384H48,0,384,214.4782,0.9563,224.27920108752485,1.1352,E1U,low / skeletal
617,C384H48,0,384,214.4782,0.9563,224.27920108752485,1.1352,E1U,low / skeletal
617,C384H48,0,384,214.9867,0.9563,224.8109379901705,0.0,E1G,low / skeletal
617,C384H48,0,384,214.9867,0.9563,224.8109379901705,0.0,E1G,low / skeletal
617,C384H48,0,384,221.2,0.9563,231.30816689323436,0.0,E2U,low / skeletal
617,C384H48,0,384,221.2,0.9563,231.30816689323436,0.0,E2U,low / skeletal
617,C384H48,0,384,224.0321,0.9563,234.26968524521595,18.1409,E1U,low / skeletal
617,C384H48,0,384,224.0321,0.9563,234.26968524521595,18.1405,E1U,low / skeletal
617,C384H48,0,384,226.8273,0.9563,237.19261737948344,5.369,A2U,low / skeletal
617,C384H48,0,384,227.853,0.9563,238.26518874830077,0.0,B1G,low / skeletal
617,C384H48,0,384,229.1914,0.9563,239.6647495555788,0.0,E2U,low / skeletal
617,C384H48,0,384,229.1914,0.9563,239.6647495555788,0.0,E2U,low / skeletal
617,C384H48,0,384,232.5385,0.9563,243.16480184042663,0.0,E1G,low / skeletal
617,C384H48,0,384,232.5385,0.9563,243.16480184042663,0.0,E1G,low / skeletal
617,C384H48,0,384,238.7541,0.9563,249.66443584649167,0.0,B2G,low / skeletal
617,C384H48,0,384,240.9865,0.9563,251.99884973334727,0.0,B1G,low / skeletal
617,C384H48,0,384,244.6432,0.9563,255.82264979608908,0.0,B2U,low / skeletal
617,C384H48,0,384,244.7806,0.9563,255.96632855798387,0.4506,A2U,low / skeletal
617,C384H48,0,384,249.8998,0.9563,261.3194604203701,0.0,A2G,low / skeletal
617,C384H48,0,384,251.1531,0.9563,262.6300324166057,0.0,E2U,low / skeletal
617,C384H48,0,384,251.1531,0.9563,262.6300324166057,0.0,E2U,low / skeletal
617,C384H48,0,384,252.5397,0.9563,264.0799958172122,0.0,E1G,low / skeletal
617,C384H48,0,384,252.5397,0.9563,264.0799958172122,0.0,E1G,low / skeletal
617,C384H48,0,384,258.3232,0.9563,270.127784168148,0.0,A1G,low / skeletal
617,C384H48,0,384,262.5017,0.9563,274.4972289030639,0.0,E2U,low / skeletal
617,C384H48,0,384,262.5017,0.9563,274.4972289030639,0.0,E2U,low / skeletal
617,C384H48,0,384,268.1273,0.9563,280.37990170448603,0.103,E1U,low / skeletal
617,C384H48,0,384,268.1273,0.9563,280.37990170448603,0.103,E1U,low / skeletal
617,C384H48,0,384,268.4639,0.9563,280.73188330021964,0.0,E2G,low / skeletal
617,C384H48,0,384,268.4639,0.9563,280.73188330021964,0.0,E2G,low / skeletal
617,C384H48,0,384,272.5976,0.9563,285.05448081146085,0.0,E1G,low / skeletal
617,C384H48,0,384,272.5976,0.9563,285.05448081146085,0.0,E1G,low / skeletal
617,C384H48,0,384,272.7456,0.9563,285.20924396110007,0.0,A1U,low / skeletal
