scale,n_bands,frequency_unscaled_cm
0.9097,2488,2069.091238869957
0.9097,2488,1944.6977025392987
0.9097,2488,1998.5619434978564
0.9097,2488,1956.2082005056611
0.9097,2488,2033.7140815653515
0.9097,2488,1946.1722545894247
0.9097,2488,2019.0038474222272
0.9097,2488,1916.7565131361987
0.9097,2488,1857.7914697152908
0.9097,2488,1952.0239639441572
0.9097,2488,1861.1387270528744
0.9097,2488,2013.958337913598
0.9097,2488,1811.6476860503465
0.9097,2488,1997.8339012861384
0.9097,2488,1991.439705397384
0.9097,2488,1923.311311421348
0.9097,2488,2018.0438606133887
0.9097,2488,2009.2186435088493
0.9097,2488,2069.124106848412
0.9097,2488,1805.7369462460156
0.9097,2488,2022.5007145212708
0.9097,2488,1891.5920633175772
0.9097,2488,2089.577882818512
0.9097,2488,1951.1673079037048
0.9097,2488,2008.938331318017
0.9097,2488,1975.860173683632
0.9097,2488,1993.9629548202704
0.9097,2488,2023.67066065736
0.9097,2488,1826.844454215676
0.9097,2488,2031.5010443003189
0.9097,2488,2082.4449818621524
0.9097,2488,2069.227657469496
0.9097,2488,1928.335495218204
0.9097,2488,2076.354732329339
0.9097,2488,2010.48906232824
0.9097,2488,2099.933274705947
0.9097,2488,2048.5963504452016
0.9097,2488,1959.6250412223808
0.9097,2488,1955.797845443553
0.9097,2488,1947.8371990766188
0.9097,2488,1991.932285368803
0.9097,2488,1920.6184456414203
0.9097,2488,1927.812135868968
0.9097,2488,2005.787622293064
0.9097,2488,2038.6627459602068
0.9097,2488,2057.4465208310435
0.9097,2488,1938.3035066505445
0.9097,2488,2081.3391227877323
0.9097,2488,1878.128064196988
0.9097,2488,1904.5365505111577
0.9097,2488,2119.8846872595363
0.9097,2488,1937.57645377597
0.9097,2488,2116.751676376828
0.9097,2488,1950.960426514236
0.9097,2488,2026.6210838738043
0.9097,2488,2274.870396834121
0.9097,2488,1956.4010113224144
0.9097,2488,2031.708585247884
0.9097,2488,1950.972848191712
0.9097,2488,1872.675277564032
0.9097,2488,2010.3058151038808
0.9097,2488,2002.1382873474768
0.9097,2488,1970.031329009564
0.9097,2488,1985.0700230845332
0.9097,2488,1858.8621523579204
0.9097,2488,1881.502033637463
0.9097,2488,1900.2774541057493
0.9097,2488,2046.089919753765
0.9097,2488,1955.1784104649887
0.9097,2488,1907.033967241948
0.9097,2488,1963.0249532813016
0.9097,2488,2095.861932505222
0.9097,2488,2113.7746509838407
0.9097,2488,2076.437616796746
0.9097,2488,2084.214246454876
0.9097,2488,1932.534132131472
0.9097,2488,2098.3242827305708
0.9097,2488,2045.9217324392655
0.9097,2488,2075.3639661426846
0.9097,2488,1928.4689458063096
0.9097,2488,1917.166538419259
0.9097,2488,2127.3161481807188
0.9097,2488,1924.9086512036936
0.9097,2488,2042.507749807629
0.9097,2488,1840.3551720347368
0.9097,2488,2089.3903484665275
0.9097,2488,1878.2759151368584
0.9097,2488,1971.158184016709
0.9097,2488,2054.7493679234917
0.9097,2488,1950.266241618116
0.9097,2488,2043.5851379575688
0.9097,2488,1898.465757942179
0.9097,2488,2028.039903264813
0.9097,2488,1855.8103770473783
0.9097,2488,2048.4169506430694
0.9097,2488,1993.9448169726284
0.9097,2488,1899.849071122348
0.9097,2488,1883.8037814664176
0.9097,2488,1894.3547323293396
0.9097,2488,1993.8868857865232
0.9097,2488,1894.677146311971
0.9097,2488,1867.70253929867
0.9097,2488,2067.585247883918
0.9097,2488,1924.2918544575132
0.9097,2488,2037.091458722656
0.9097,2488,1902.149939540508
0.9097,2488,1907.7293613279105
0.9097,2488,1868.7070462789927
0.9097,2488,1976.17148510498
0.9097,2488,2034.2886665933825
0.9097,2488,1850.3504452017148
0.9097,2488,1942.055842585468
0.9097,2488,1991.7359569088712
0.9097,2488,1905.48411564252
0.9097,2488,1969.9518522589865
0.9097,2488,2064.603495657909
0.9097,2488,1845.5406177860837
0.9097,2488,1904.171265252281
0.9097,2488,1836.1662086402112
0.9097,2488,1960.232274376168
0.9097,2488,2071.293283500055
0.9097,2488,1824.3674837858637
0.9097,2488,2061.5907442013854
0.9097,2488,1989.876442783335
0.9097,2488,2114.867978454436
0.9097,2488,1936.071232274376
0.9097,2488,2019.8901835770037
0.9097,2488,2063.7141914917006
0.9097,2488,2014.544904913708
0.9097,2488,1876.646916565901
0.9097,2488,2028.4694954380568
0.9097,2488,1914.537979553699
0.9097,2488,2013.4926898977683
0.9097,2488,1955.164559744971
0.9097,2488,1880.872155655711
0.9097,2488,2104.2824007914696
0.9097,2488,2101.794437726723
0.9097,2488,2021.5224799384412
0.9097,2488,1922.5155545784328
0.9097,2488,2019.342750357261
0.9097,2488,2077.9473452786638
0.9097,2488,1887.0892601956689
0.9097,2488,2051.1897328789714
0.9097,2488,2054.8616027261737
0.9097,2488,2072.6470264922505
0.9097,2488,1856.963174672969
0.9097,2488,1984.400351764318
0.9097,2488,2352.159173353853
0.9097,2488,1902.7465098384084
0.9097,2488,1877.4996152577771
0.9097,2488,1820.4146421897328
0.9097,2488,2016.3814444322304
0.9097,2488,1896.97647576124
0.9097,2488,2078.8496207540948
0.9097,2488,2024.932285368803
0.9097,2488,2047.171595031329
0.9097,2488,1865.815433659448
0.9097,2488,1925.6506540617788
0.9097,2488,2025.5590854127736
0.9097,2488,2105.1628009233814
0.9097,2488,1920.9791139936244
0.9097,2488,1929.595361108058
0.9097,2488,2084.7224359679017
0.9097,2488,1850.882049027152
0.9097,2488,1894.1238869957128
0.9097,2488,1988.7662965812904
0.9097,2488,1989.7349675717269
0.9097,2488,1990.761789600968
0.9097,2488,1910.99835110476
0.9097,2488,2034.2867978454435
0.9097,2488,1865.705617236452
0.9097,2488,1864.2781136638453
0.9097,2488,1917.342750357261
0.9097,2488,2052.401890733209
0.9097,2488,1857.002198526987
0.9097,2488,1887.8089480048368
0.9097,2488,2121.1772012751458
0.9097,2488,2080.6229526217435
0.9097,2488,1901.1911619215127
0.9097,2488,1947.3641859953832
0.9097,2488,1995.6221831372984
0.9097,2488,2076.758601736836
0.9097,2488,1884.64878531384
0.9097,2488,2133.2893261514787
0.9097,2488,2124.060679344839
0.9097,2488,2039.1145432560184
0.9097,2488,1811.8296141585136
0.9097,2488,1882.4361877542049
0.9097,2488,1915.804550950863
0.9097,2488,1970.3084533362648
0.9097,2488,1939.687039683412
0.9097,2488,2098.634275035726
0.9097,2488,1906.1942398592944
0.9097,2488,2017.2466747279325
0.9097,2488,1856.837089150269
0.9097,2488,2074.9576783555017
0.9097,2488,2029.0769484445425
0.9097,2488,2055.8592942728374
0.9097,2488,2016.6758271957788
0.9097,2488,1989.9073320875011
0.9097,2488,2032.2246894580635
0.9097,2488,1840.7269429482249
0.9097,2488,1883.9660327580525
0.9097,2488,2065.1185006045957
0.9097,2488,1957.5468835879965
0.9097,2488,2055.285148950204
0.9097,2488,1904.2460151698365
0.9097,2488,1952.3915576563704
0.9097,2488,1910.193140595801
0.9097,2488,1801.6284489392108
0.9097,2488,1894.6026162471144
0.9097,2488,2040.6861602726171
0.9097,2488,1854.5056612069916
0.9097,2488,2000.3140595800812
0.9097,2488,2122.147521160822
0.9097,2488,1984.923051555458
0.9097,2488,1978.2285368802904
0.9097,2488,1994.3268110366052
0.9097,2488,1958.1905023634167
0.9097,2488,2077.315488622623
0.9097,2488,1856.3058151038804
0.9097,2488,1855.9256897878424
0.9097,2488,1885.802352423876
0.9097,2488,1848.9775750247331
0.9097,2488,1850.4993954050788
0.9097,2488,1973.7722326041555
0.9097,2488,2058.014620204463
0.9097,2488,2027.0464988457736
0.9097,2488,2074.82016049247
0.9097,2488,2026.229746070133
0.9097,2488,1991.141365285259
