uid,formula,charge,n_c,n_h,n_n,n_o,n_atoms,symmetry,method,basis,scales_seen,n_modes,weight,total_e,vib_e,n_solo,n_duo,n_trio,n_quartet,n_quintet,n_ch2,n_chx,dois,route,n_ch,n_ch3
100032,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61924400,120.47241136,1,4,0,4,0,0,,10.1021/acs.jpca.4c07416,2-cyanophenanthrene,0,0
100033,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61855300,120.57846046,0,2,3,4,0,0,,10.1021/acs.jpca.4c07416,1-cyanophenanthrene,0,0
100034,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61845900,120.57846046,1,0,0,8,0,0,,10.1021/acs.jpca.4c07416,9-cyanophenanthrene,0,0
334,C16H10,0,16,10,0,0,26,c1,B3LYP/N07D,?,,2675,202.07825000,-615.62568600,129.78841739,0,4,6,0,0,0,,10.1080/00268976.2023.2252936,pyrene,0,0
360,C16H10+,1,16,10,0,0,26,d2h,B3LYP/N07D,?,,2697,202.07825000,-615.36429700,129.82857800,2,0,0,8,0,0,,10.1080/00268976.2023.2252936,pyrene,0,0
100006,C9H16N2,0,9,16,2,0,27,c1,B3LYP/N07D,?,,2925,152.13134800,-461.91004500,153.86470189,0,0,0,0,0,8,,10.1093/mnras/staf1901,"Also known as DBU | 1,8-diazabicyclo[5.4.0]undec-7-ene",0,0
100019,C16H9CN,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.87289900,128.79757989,2,4,3,0,0,0,,10.1093/mnrasl/slae037,2-cyanopyrene,0,0
100021,C16H9CN,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.87383200,128.88229368,0,6,3,0,0,0,,10.1093/mnrasl/slae037,1-cyanopyrene,0,0
100022,C16H9CN,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.87270400,128.86786096,1,2,6,0,0,0,,10.1093/mnrasl/slae037,9-cyanopyrene,0,0
100020,C16H9NC,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.84087200,128.40789649,2,4,3,0,0,0,,10.1093/mnrasl/slae037,2-isocyanopyrene,0,0
100023,C16H9NC,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.84135300,128.53339839,0,6,3,0,0,0,,10.1021/acs.jpca.4c07416,1-isocyanopyrene,0,0
100024,C16H9NC,0,17,9,1,0,27,c1,B3LYP/N07D,?,,2925,227.07349900,-707.84061400,128.52022070,1,2,6,0,0,0,,10.1021/acs.jpca.4c07416,9-isocyanopyrene,0,0
282,C18H12,0,18,12,0,0,30,ci,B3LYP/N07D,?,,3651,228.09390000,-692.99300700,150.58533724,4,0,0,8,0,0,,10.1063/5.0208597,tetracene,0,0
